COD_EMPRESA,CODIGO,ESTOQUE_PROJ,VENDA_MEDIA_MES,DIAS_COBERTURA,RECEITA_TOTAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO,STATUS_ESTOQUE
9,446041,0.0,0.0,inf,,"PORCEL.A 120X120 EPO.CARRAR.BR2,88M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,446044,-2.88,2.88,-30.0,302.0976,"PORCEL.A 120X120 ESM.CARRA.CET2,88M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,446058,-442.0,31.571428571428573,-420.0,37018.590000000004,"PORCEL.A 82X82 ESM.CALA.V.CETI2,00M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,446060,0.0,0.0,inf,,"PORCEL.A 82X82 ESM.DREAM CETIM2,00M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,446069,0.0,0.0,inf,,"PORCEL.A 90X180 EPO.CALA.ORO  3,20M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,446070,-3.2,3.2,-30.0,668.64,"PORCEL.A 90X180 EPO.ROYAL BLAC3,20M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,446074,-127.60000000000001,18.22857142857143,-209.99999999999997,17400.537,"PORCEL.A 60X120 ESM.ROYAL B.SAT2,20M",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,446278,-242.0,13.444444444444445,-540.0,3901.2435,P.DETERGENTE PLS 500ML      BR 17008,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,446279,-200.0,15.384615384615385,-390.0,5001.15,LIXEIRA PIA PLS 2.5L         BR 0007,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,446284,0.0,0.0,inf,,"PORCEL.A 90X90 ESM.ABSOL.BROW1,60M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
